Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,26,Female,No,4,0
Bachelors,year_TOKEN_1,GPE_TOKEN_10,2,25,Male,No,3,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,1,28,Female,No,3,0
PHD,year_TOKEN_5,GPE_TOKEN_10,3,26,Male,No,4,0
Bachelors,year_TOKEN_5,GPE_TOKEN_10,3,25,Female,No,3,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,26,Male,No,4,1
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,28,Female,No,3,0
Masters,year_TOKEN_3,GPE_TOKEN_9,3,24,Male,No,2,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,28,Male,No,1,0
Bachelors,year_TOKEN_5,GPE_TOKEN_9,3,27,Male,No,5,0
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,25,Male,No,3,1
Masters,year_TOKEN_2,GPE_TOKEN_9,1,24,Male,No,2,1
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,26,Female,No,4,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,28,Male,No,1,1
Masters,year_TOKEN_4,GPE_TOKEN_10,3,27,Male,No,5,0
Masters,year_TOKEN_1,GPE_TOKEN_8,3,26,Male,No,4,0
Masters,year_TOKEN_1,GPE_TOKEN_10,2,24,Male,No,2,0
Masters,year_TOKEN_7,GPE_TOKEN_10,3,26,Male,No,4,1
Masters,year_TOKEN_1,GPE_TOKEN_10,1,25,Female,No,3,1
Bachelors,year_TOKEN_6,GPE_TOKEN_9,3,28,Male,No,2,0
Bachelors,year_TOKEN_1,GPE_TOKEN_10,3,28,Male,No,2,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,26,Male,No,4,0
Masters,year_TOKEN_2,GPE_TOKEN_10,3,27,Male,No,5,1
Bachelors,year_TOKEN_1,GPE_TOKEN_9,2,24,Female,No,2,1
Bachelors,year_TOKEN_1,GPE_TOKEN_10,3,28,Female,No,2,0
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,26,Male,No,4,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,27,Female,No,5,0
Masters,year_TOKEN_5,GPE_TOKEN_9,2,28,Female,No,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,25,Male,No,3,0
Bachelors,year_TOKEN_4,GPE_TOKEN_9,3,28,Male,No,1,0
Masters,year_TOKEN_2,GPE_TOKEN_8,1,25,Male,No,3,1
Bachelors,year_TOKEN_5,GPE_TOKEN_9,3,26,Male,No,4,0
Bachelors,year_TOKEN_7,GPE_TOKEN_10,3,27,Female,No,5,1
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,24,Male,No,2,1
Bachelors,year_TOKEN_6,GPE_TOKEN_9,2,24,Female,No,2,1
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,26,Male,No,4,0
Bachelors,year_TOKEN_4,GPE_TOKEN_9,2,24,Female,No,2,1
Masters,year_TOKEN_6,GPE_TOKEN_10,3,26,Female,No,4,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,28,Female,No,3,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,24,Male,No,2,1
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,25,Male,No,3,1
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,28,Male,No,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,28,Female,No,3,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,26,Female,No,4,0
Masters,year_TOKEN_1,GPE_TOKEN_10,3,24,Female,No,2,1
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,25,Male,No,3,1
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,25,Male,No,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,27,Male,No,5,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,24,Male,No,2,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,25,Male,No,3,0
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,28,Male,No,3,0
Masters,year_TOKEN_5,GPE_TOKEN_10,3,26,Male,No,4,1
Bachelors,year_TOKEN_3,GPE_TOKEN_10,3,28,Female,No,1,0
Bachelors,year_TOKEN_5,GPE_TOKEN_9,3,25,Male,No,3,0
Masters,year_TOKEN_5,GPE_TOKEN_9,2,28,Female,No,2,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,27,Female,No,5,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,26,Male,No,4,0
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,26,Male,No,4,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,25,Male,No,3,0
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,25,Male,No,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_10,3,24,Female,No,2,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,27,Male,No,5,1
Masters,year_TOKEN_1,GPE_TOKEN_10,3,27,Male,No,5,1
Bachelors,year_TOKEN_5,GPE_TOKEN_9,3,27,Male,No,5,0
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,24,Male,No,2,1
Masters,year_TOKEN_1,GPE_TOKEN_10,3,27,Male,No,5,1
Masters,year_TOKEN_1,GPE_TOKEN_10,2,28,Female,No,1,1
Masters,year_TOKEN_1,GPE_TOKEN_9,2,24,Male,No,2,1
Masters,year_TOKEN_4,GPE_TOKEN_10,3,25,Female,No,3,1
PHD,year_TOKEN_5,GPE_TOKEN_10,3,28,Female,No,1,0
Bachelors,year_TOKEN_1,GPE_TOKEN_10,2,26,Male,No,4,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,2,27,Male,No,5,0
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,26,Male,No,4,0
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,26,Male,No,4,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,28,Male,No,1,0
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,27,Female,No,5,0
Bachelors,year_TOKEN_2,GPE_TOKEN_10,3,25,Female,No,3,0
Bachelors,year_TOKEN_2,GPE_TOKEN_9,3,28,Male,No,1,0
Bachelors,year_TOKEN_1,GPE_TOKEN_9,3,24,Male,No,2,0
Bachelors,year_TOKEN_2,GPE_TOKEN_10,3,27,Female,No,5,0
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,28,Male,Yes,2,0
Bachelors,year_TOKEN_5,GPE_TOKEN_9,3,28,Male,No,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_9,2,25,Female,No,3,1
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,25,Male,No,3,0
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,27,Male,No,5,0
Bachelors,year_TOKEN_3,GPE_TOKEN_9,2,26,Female,No,4,1
PHD,year_TOKEN_2,GPE_TOKEN_10,3,24,Male,No,2,0
Bachelors,year_TOKEN_5,GPE_TOKEN_9,2,26,Female,No,4,1
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,25,Male,No,3,0
Masters,year_TOKEN_2,GPE_TOKEN_9,2,27,Male,No,5,1
Masters,year_TOKEN_1,GPE_TOKEN_8,3,28,Male,No,2,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,25,Male,No,3,1
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,27,Male,No,5,0
Masters,year_TOKEN_1,GPE_TOKEN_9,2,27,Female,No,5,0
Masters,year_TOKEN_2,GPE_TOKEN_8,2,28,Female,No,2,1
Masters,year_TOKEN_1,GPE_TOKEN_9,3,28,Male,No,1,1
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,27,Female,No,5,1
Bachelors,year_TOKEN_3,GPE_TOKEN_10,3,25,Female,No,3,0
Masters,year_TOKEN_1,GPE_TOKEN_10,3,27,Male,No,5,1
Masters,year_TOKEN_2,GPE_TOKEN_10,3,26,Male,No,4,1
Bachelors,year_TOKEN_2,GPE_TOKEN_9,2,25,Female,No,3,1
Masters,year_TOKEN_6,GPE_TOKEN_10,3,26,Male,No,4,1
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,25,Male,No,3,1
Bachelors,year_TOKEN_2,GPE_TOKEN_9,2,26,Male,No,4,0
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,28,Female,No,2,1
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,27,Male,No,5,0
Bachelors,year_TOKEN_5,GPE_TOKEN_9,1,24,Female,Yes,2,1
Bachelors,year_TOKEN_2,GPE_TOKEN_9,3,28,Male,No,2,0
Bachelors,year_TOKEN_5,GPE_TOKEN_9,2,27,Female,Yes,5,1
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,25,Male,No,3,1
Bachelors,year_TOKEN_3,GPE_TOKEN_9,2,27,Female,No,5,1
Bachelors,year_TOKEN_2,GPE_TOKEN_9,3,24,Male,No,2,0
Bachelors,year_TOKEN_3,GPE_TOKEN_9,3,24,Male,No,2,0
PHD,year_TOKEN_5,GPE_TOKEN_10,2,25,Female,No,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,26,Male,Yes,4,0
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,24,Male,No,2,1
Masters,year_TOKEN_5,GPE_TOKEN_9,2,25,Female,No,3,0
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,24,Male,No,2,0
Bachelors,year_TOKEN_3,GPE_TOKEN_10,3,24,Female,No,2,0
Masters,year_TOKEN_1,GPE_TOKEN_8,2,26,Female,No,4,1
Bachelors,year_TOKEN_6,GPE_TOKEN_10,3,28,Male,No,1,0
Masters,year_TOKEN_1,GPE_TOKEN_9,2,26,Female,No,4,0
Bachelors,year_TOKEN_4,GPE_TOKEN_9,3,25,Male,No,3,0
Bachelors,year_TOKEN_1,GPE_TOKEN_10,3,24,Male,No,2,1
Bachelors,year_TOKEN_2,GPE_TOKEN_9,2,28,Female,No,3,1
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,25,Female,No,3,1
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,25,Male,No,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_9,2,24,Female,No,2,1
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,28,Male,No,2,1
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,27,Male,No,5,0
Bachelors,year_TOKEN_4,GPE_TOKEN_9,3,26,Male,No,4,0
Masters,year_TOKEN_5,GPE_TOKEN_10,3,26,Female,No,4,1
Bachelors,year_TOKEN_4,GPE_TOKEN_8,1,28,Female,No,2,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,25,Male,Yes,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,27,Male,No,5,0
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,28,Male,No,2,0
Masters,year_TOKEN_7,GPE_TOKEN_10,3,24,Female,Yes,2,1
Bachelors,year_TOKEN_1,GPE_TOKEN_9,2,25,Male,No,3,0
Bachelors,year_TOKEN_7,GPE_TOKEN_9,2,24,Female,No,2,1
Masters,year_TOKEN_1,GPE_TOKEN_10,2,28,Female,No,1,0
Bachelors,year_TOKEN_2,GPE_TOKEN_10,1,27,Female,No,5,0
Bachelors,year_TOKEN_1,GPE_TOKEN_10,2,27,Female,No,5,0
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,28,Male,No,1,0
Bachelors,year_TOKEN_4,GPE_TOKEN_9,2,27,Female,No,5,1
Masters,year_TOKEN_7,GPE_TOKEN_8,3,24,Male,No,2,1
Bachelors,year_TOKEN_6,GPE_TOKEN_9,1,26,Male,No,4,0
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,26,Male,No,4,0
Masters,year_TOKEN_4,GPE_TOKEN_10,1,27,Male,No,5,0
Bachelors,year_TOKEN_5,GPE_TOKEN_10,3,26,Female,No,4,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,27,Male,Yes,5,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,24,Male,Yes,2,1
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,26,Female,No,4,1
Masters,year_TOKEN_1,GPE_TOKEN_9,2,26,Female,No,4,1
Masters,year_TOKEN_1,GPE_TOKEN_10,2,28,Female,No,2,0
Bachelors,year_TOKEN_2,GPE_TOKEN_9,3,28,Male,No,1,0
Masters,year_TOKEN_2,GPE_TOKEN_10,3,25,Male,No,3,0
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,28,Female,Yes,1,1
Bachelors,year_TOKEN_2,GPE_TOKEN_9,3,27,Female,No,5,1
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,25,Male,No,3,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,28,Male,No,1,0
Bachelors,year_TOKEN_1,GPE_TOKEN_10,3,28,Female,No,3,0
Masters,year_TOKEN_1,GPE_TOKEN_10,2,28,Male,Yes,2,0
Bachelors,year_TOKEN_3,GPE_TOKEN_8,3,25,Male,No,3,0
Masters,year_TOKEN_1,GPE_TOKEN_10,3,26,Male,No,4,0
Bachelors,year_TOKEN_5,GPE_TOKEN_9,1,25,Female,No,3,1
Masters,year_TOKEN_2,GPE_TOKEN_10,3,27,Male,No,5,0
PHD,year_TOKEN_3,GPE_TOKEN_8,3,24,Female,No,2,0
Masters,year_TOKEN_1,GPE_TOKEN_10,2,27,Female,No,5,0
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,26,Male,No,4,1
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,26,Male,No,4,0
Masters,year_TOKEN_5,GPE_TOKEN_9,3,27,Female,No,5,1
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,26,Male,No,4,1
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,24,Male,No,2,0
Masters,year_TOKEN_1,GPE_TOKEN_10,2,25,Female,No,3,0
Bachelors,year_TOKEN_1,GPE_TOKEN_10,2,28,Male,No,1,0
Bachelors,year_TOKEN_6,GPE_TOKEN_10,3,27,Female,No,5,0
Masters,year_TOKEN_2,GPE_TOKEN_10,3,26,Male,No,4,1
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,26,Female,Yes,4,1
Bachelors,year_TOKEN_3,GPE_TOKEN_9,3,28,Male,No,2,0
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,24,Female,No,2,1
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,28,Male,No,3,0
Bachelors,year_TOKEN_6,GPE_TOKEN_8,3,27,Male,No,5,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,26,Male,No,4,0
Bachelors,year_TOKEN_3,GPE_TOKEN_10,3,28,Female,No,1,0
Bachelors,year_TOKEN_3,GPE_TOKEN_10,3,27,Female,Yes,5,0
Bachelors,year_TOKEN_5,GPE_TOKEN_9,3,26,Female,Yes,4,1
Masters,year_TOKEN_3,GPE_TOKEN_10,3,26,Male,No,4,1
PHD,year_TOKEN_5,GPE_TOKEN_10,3,25,Female,No,3,0
Masters,year_TOKEN_5,GPE_TOKEN_10,3,25,Male,No,3,0
Bachelors,year_TOKEN_6,GPE_TOKEN_9,3,27,Male,No,5,0
Masters,year_TOKEN_1,GPE_TOKEN_10,2,24,Female,No,2,0
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,24,Male,No,2,0
Masters,year_TOKEN_5,GPE_TOKEN_9,3,28,Female,No,2,0
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,24,Female,No,2,0
Bachelors,year_TOKEN_1,GPE_TOKEN_9,3,25,Male,No,3,0
Bachelors,year_TOKEN_1,GPE_TOKEN_8,1,25,Male,No,3,0
Masters,year_TOKEN_5,GPE_TOKEN_9,3,28,Female,No,2,0
Bachelors,year_TOKEN_1,GPE_TOKEN_9,3,26,Male,No,4,0
Bachelors,year_TOKEN_3,GPE_TOKEN_9,3,24,Male,No,2,0
Bachelors,year_TOKEN_3,GPE_TOKEN_9,3,25,Female,No,3,1
Bachelors,year_TOKEN_7,GPE_TOKEN_9,3,26,Female,No,4,1
Bachelors,year_TOKEN_4,GPE_TOKEN_8,3,27,Male,No,5,0
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,28,Female,No,2,0
Bachelors,year_TOKEN_6,GPE_TOKEN_9,3,28,Male,No,2,0
Masters,year_TOKEN_6,GPE_TOKEN_10,3,24,Female,No,2,1
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,26,Male,No,4,0
Bachelors,year_TOKEN_5,GPE_TOKEN_10,3,26,Female,Yes,4,0
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,28,Male,No,1,0
Bachelors,year_TOKEN_7,GPE_TOKEN_9,3,25,Male,Yes,3,1
Masters,year_TOKEN_1,GPE_TOKEN_10,3,24,Male,No,2,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,28,Male,No,2,1
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,24,Male,No,2,0
Masters,year_TOKEN_1,GPE_TOKEN_10,2,25,Female,No,3,1
Bachelors,year_TOKEN_2,GPE_TOKEN_9,2,28,Female,No,1,1
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,24,Female,No,2,0
Bachelors,year_TOKEN_4,GPE_TOKEN_9,3,26,Male,No,4,0
Bachelors,year_TOKEN_5,GPE_TOKEN_10,2,27,Female,No,5,1
Bachelors,year_TOKEN_7,GPE_TOKEN_8,3,24,Female,No,2,1
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,27,Female,No,5,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,24,Male,Yes,2,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,24,Female,No,2,0
Bachelors,year_TOKEN_2,GPE_TOKEN_8,3,27,Male,No,5,0
Bachelors,year_TOKEN_1,GPE_TOKEN_8,3,26,Female,No,4,0
Bachelors,year_TOKEN_5,GPE_TOKEN_8,3,24,Female,No,2,0
